10000,,,,,,,,,,,,,,,,,,,,,,,
No.,Channel Reserved,,Dropped Call,,Blocked Call,Channel Reserved,,Dropped Call,,Blocked Call,,,,,,,,,,,,,
0,0,0.0052,52,0.003,30,1,0.0029,29,0.0103,103,37.7294,,,,,,,,,,,,
1,0,0.0067,67,0.005,50,1,0.0038,38,0.0121,121,61.3324,,,,Scheme,average No. of dropped call,average No. of blocked call,standard deviation of No. of dropped call,standard deviation of No. of blocked call,average % of dropped call rate,average % of blocked call rate,"standard
deviation
% Drop Call
Rate","standard
deviation
% Block Call
Rate"
100,0,0.0064,64,0.0041,41,1,0.0037,37,0.0117,117,,,,,,,,,,,,,
101,0,0.0051,51,0.0049,49,1,0.0018,18,0.0142,142,,,,,,,,,,,,,
102,0,0.0049,49,0.0032,32,1,0.0028,28,0.0098,98,,,,,,,,,,,,,
103,0,0.0052,52,0.0036,36,1,0.0028,28,0.0109,109,,,,,,,,,,,,,
104,0,0.0054,54,0.004,40,1,0.003,30,0.0111,111,,,,,,,,,,,,,
105,0,0.0061,61,0.0039,39,1,0.0033,33,0.0118,118,,,,,,,,,,,,,
106,0,0.0057,57,0.0024,24,1,0.0036,36,0.009,90,,,,,,,,,,,,,
107,0,0.0061,61,0.0045,45,1,0.0028,28,0.014,140,,,,,,,,,,,,,
108,0,0.0063,63,0.0045,45,1,0.0041,41,0.0118,118,,,,,,,,,,,,,
109,0,0.0067,67,0.0036,36,1,0.0031,31,0.0122,122,,,,,,,,,,,,,
110,0,0.0071,71,0.0038,38,1,0.0031,31,0.0123,123,,,,,,,,,,,,,
111,0,0.0047,47,0.0038,38,1,0.0026,26,0.0113,113,,,,,,,,,,,,,
112,0,0.0082,82,0.0041,41,1,0.0045,45,0.0128,128,,,,,,,,,,,,,
113,0,0.007,70,0.0039,39,1,0.0039,39,0.0138,138,,,,,,,,,,,,,
114,0,0.0074,74,0.0044,44,1,0.0038,38,0.0134,134,,,,,,,,,,,,,
115,0,0.0051,51,0.0037,37,1,0.0029,29,0.0103,103,,,,,,,,,,,,,
116,0,0.006,60,0.0037,37,1,0.0034,34,0.0106,106,,,,,,,,,,,,,
117,0,0.0063,63,0.0045,45,1,0.003,30,0.0133,133,,,,,,,,,,,,,
118,0,0.0045,45,0.0034,34,1,0.0031,31,0.0102,102,,,,,,,,,,,,,
119,0,0.0064,64,0.004,40,1,0.0037,37,0.0121,121,,,,,,,,,,,,,
120,0,0.0048,48,0.0029,29,1,0.0029,29,0.0103,103,,,,,,,,,,,,,
121,0,0.0066,66,0.0037,37,1,0.0036,36,0.0123,123,,,,,,,,,,,,,
122,0,0.0065,65,0.0032,32,1,0.0037,37,0.0114,114,,,,,,,,,,,,,
123,0,0.0064,64,0.0039,39,1,0.0039,39,0.0118,118,,,,,,,,,,,,,
124,0,0.0086,86,0.005,50,1,0.0051,51,0.0134,134,,,,,,,,,,,,,
125,0,0.0055,55,0.003,30,1,0.0028,28,0.0111,111,,,,,,,,,,,,,
